Season,Week,Contestant,Judge_Score,Est_Fan_Support,Est_Fan_Uncertainty,Voting_Mode
1,1,John O'Hurley,20.0,3.53,1.7110717888699662,rank
1,1,Kelly Monaco,13.0,3.5,1.7052858997833764,rank
1,1,Evander Holyfield,18.0,3.533333333333333,1.6949598487542237,rank
1,1,Rachel Hunter,20.0,3.5376666666666665,1.7040876020778766,rank
1,1,Joey McIntyre,20.0,3.44,1.7026645784377703,rank
1,1,Trista Sutter,18.0,3.459,1.726166948279706,rank
1,2,John O'Hurley,26.0,3.6686507936507935,1.6783310177194073,rank
1,2,Kelly Monaco,17.0,2.9186507936507935,1.3941947970148132,rank
1,2,Evander Holyfield,14.0,2.2003968253968256,1.0007536055581012,rank
1,2,Rachel Hunter,24.0,3.7043650793650795,1.6432584721825112,rank
1,2,Joey McIntyre,21.0,2.9027777777777777,1.3541793853696582,rank
1,2,Trista Sutter,19.0,5.60515873015873,0.5641867783247694,rank
1,3,John O'Hurley,24.0,3.7265625,1.2949109751615167,rank
1,3,Kelly Monaco,21.0,1.5671875,0.7300587920460561,rank
1,3,Evander Holyfield,13.0,3.3625,0.8532108473290747,rank
1,3,Rachel Hunter,26.0,4.028125,1.2571630699217187,rank
1,3,Joey McIntyre,22.0,2.315625,1.1154061409975287,rank
1,4,John O'Hurley,21.0,2.960832313341493,0.23402872023199772,rank
1,4,Kelly Monaco,26.0,1.364749082007344,0.5412085546127834,rank
1,4,Rachel Hunter,25.0,4.0,0.0,rank
1,4,Joey McIntyre,20.0,1.6744186046511629,0.4685916669676674,rank
1,5,John O'Hurley,27.0,2.834,0.4363989000902775,rank
1,5,Kelly Monaco,23.5,1.4636666666666667,0.5836778982357372,rank
1,5,Joey McIntyre,22.5,1.7023333333333333,0.6301279411533932,rank
1,6,John O'Hurley,27.0,1.952,0.21376622745419582,rank
1,6,Kelly Monaco,27.5,1.048,0.21376622745419582,rank
2,1,Tatum O'Neal,23.0,5.2299605781865965,2.8783383517756715,rank
2,1,Tia Carrere,20.0,5.296977660972405,2.798742689508359,rank
2,1,George Hamilton,18.0,4.47568988173456,2.344171137459436,rank
2,1,Lisa Rinna,19.0,4.886990801576872,2.654498378446839,rank
2,1,Stacy Keibler,22.0,5.2720105124835746,2.912814098252765,rank
2,1,Jerry Rice,21.0,5.57161629434954,2.8089276932226075,rank
2,1,Giselle Fernandez,23.0,5.6268068331143235,2.9049808014465928,rank
2,1,Master P,12.0,4.375821287779238,2.2985212385275218,rank
2,1,Drew Lachey,24.0,5.4362680683311435,2.9097595082660916,rank
2,1,Kenny Mayne,13.0,8.827858081471748,1.150015373646196,rank
2,2,Tatum O'Neal,17.0,7.552742616033755,1.2286844484398252,rank
2,2,Tia Carrere,22.0,5.050632911392405,2.3288616630956502,rank
2,2,George Hamilton,22.0,3.4438818565400844,2.1308499806533985,rank
2,2,Lisa Rinna,20.0,3.660759493670886,1.9189539424634314,rank
2,2,Stacy Keibler,29.0,5.135864978902954,2.472656498380738,rank
2,2,Jerry Rice,23.0,5.767088607594936,2.454259443108976,rank
2,2,Giselle Fernandez,24.0,5.9789029535864975,2.4939543057541416,rank
2,2,Master P,16.0,2.8556962025316457,1.794112276668775,rank
2,2,Drew Lachey,27.0,5.554430379746836,2.462330418330351,rank
2,3,Tia Carrere,26.0,5.0271739130434785,1.7106827559466924,rank
2,3,George Hamilton,22.0,2.598913043478261,1.3772210966145926,rank
2,3,Lisa Rinna,25.0,2.6880434782608695,1.413240370897938,rank
2,3,Stacy Keibler,27.0,5.339130434782609,1.7087343728326578,rank
2,3,Jerry Rice,19.0,4.798913043478261,1.1032555150865941,rank
2,3,Giselle Fernandez,22.0,7.642391304347826,0.6073344640547997,rank
2,3,Master P,14.0,1.8771739130434784,1.0389797735058486,rank
2,3,Drew Lachey,27.0,6.028260869565218,1.5925318976367622,rank
2,4,Tia Carrere,25.0,4.75,0.9937303457175896,rank
2,4,George Hamilton,21.0,1.54375,0.5573023752865233,rank
2,4,Lisa Rinna,26.0,1.75,1.02469507659596,rank
2,4,Stacy Keibler,26.0,6.05,0.9137833441248533,rank
2,4,Jerry Rice,24.0,3.8375,0.7975548570474632,rank
2,4,Master P,8.0,3.375,0.649519052838329,rank
2,4,Drew Lachey,28.0,6.69375,0.4743004717476047,rank
2,5,Tia Carrere,22.0,4.1317894736842105,0.3793345390559302,rank
2,5,George Hamilton,24.0,1.52,0.6131197187121646,rank
2,5,Lisa Rinna,25.0,1.6383157894736842,0.6231712658593938,rank
2,5,Stacy Keibler,30.0,5.0964210526315785,0.5964525229960692,rank
2,5,Jerry Rice,23.0,2.861473684210526,0.43790161937911715,rank
2,5,Drew Lachey,27.0,5.752,0.4807572973417815,rank
2,6,George Hamilton,23.0,3.0050125313283207,0.07062156793787162,rank
2,6,Lisa Rinna,27.0,1.2907268170426065,0.45409771513946473,rank
2,6,Stacy Keibler,30.0,4.152882205513785,0.3735429016962668,rank
2,6,Jerry Rice,23.0,1.7092731829573935,0.45409771513946473,rank
2,6,Drew Lachey,30.0,4.842105263157895,0.3646422752776591,rank
2,7,Lisa Rinna,26.5,3.0,0.0,rank
2,7,Stacy Keibler,27.5,1.6666666666666667,0.47140452079103173,rank
2,7,Jerry Rice,20.5,1.3333333333333333,0.47140452079103173,rank
2,7,Drew Lachey,27.5,4.0,0.0,rank
2,8,Stacy Keibler,28.6665,1.64,0.49369356217528726,rank
2,8,Jerry Rice,26.666600000000003,1.3696666666666666,0.48546873111342476,rank
2,8,Drew Lachey,28.9998,2.9903333333333335,0.11360702247465185,rank
3,1,Harry Hamlin,17.0,0.093004564254683,0.021828210696549766,percent
3,1,Vivica A. Fox,22.0,0.09096466033430683,0.02269956909936973,percent
3,1,Monique Coleman,19.0,0.09243600030926073,0.02259361384587542,percent
3,1,Joey Lawrence,21.0,0.09106449484025975,0.022833118056793198,percent
3,1,Mario Lopez,26.0,0.09229630072407004,0.023778663831300853,percent
3,1,Emmitt Smith,24.0,0.09164707909830835,0.022450810138167798,percent
3,1,Shanna Moakler,18.0,0.0915113728834394,0.022391546508745957,percent
3,1,Willa Ford,22.0,0.09232388692136635,0.023516841261590378,percent
3,1,Sara Evans,15.0,0.09712931398718662,0.021936160680366835,percent
3,1,Jerry Springer,16.0,0.09465115894134511,0.02149016872813247,percent
3,1,Tucker Carlson,12.0,0.07297116770577372,0.013345375987505856,percent
3,2,Harry Hamlin,21.0,0.10316192178921804,0.022574134943130333,percent
3,2,Vivica A. Fox,24.0,0.0993809779488105,0.02274624697020534,percent
3,2,Monique Coleman,26.0,0.10105202099346028,0.024152547010424432,percent
3,2,Joey Lawrence,29.0,0.10070051636162945,0.025277244571827062,percent
3,2,Mario Lopez,21.0,0.10765723569179877,0.02297530372902155,percent
3,2,Emmitt Smith,24.0,0.10082381377988371,0.021851469631293974,percent
3,2,Shanna Moakler,22.0,0.06444510960193343,0.01085807911024507,percent
3,2,Willa Ford,23.0,0.10409047704673957,0.02193661115757639,percent
3,2,Sara Evans,21.0,0.10754606276491838,0.022023422786463135,percent
3,2,Jerry Springer,19.0,0.11114186402160772,0.02168885700245332,percent
3,3,Harry Hamlin,22.0,0.07387111420555141,0.01100722394219126,percent
3,3,Vivica A. Fox,27.0,0.11021067691001778,0.02570152130709527,percent
3,3,Monique Coleman,27.0,0.10980930493509349,0.0244065003283947,percent
3,3,Joey Lawrence,22.0,0.11593298155094121,0.02544975370233361,percent
3,3,Mario Lopez,22.0,0.11672312479903989,0.022081363552298852,percent
3,3,Emmitt Smith,19.0,0.12027302120991674,0.021312562003884032,percent
3,3,Willa Ford,22.0,0.11552885229947353,0.02381335710984719,percent
3,3,Sara Evans,25.0,0.1173370844711872,0.02543189824937718,percent
3,3,Jerry Springer,21.0,0.1203138396187786,0.024891643048645985,percent
3,4,Vivica A. Fox,24.0,0.08421612978630864,0.013352218494162016,percent
3,4,Monique Coleman,24.0,0.12839682354568735,0.025339121551227632,percent
3,4,Joey Lawrence,27.0,0.125107343041985,0.027237311426407902,percent
3,4,Mario Lopez,29.0,0.1249406970485429,0.0266331309160841,percent
3,4,Emmitt Smith,24.0,0.13414101065628597,0.0265668251571141,percent
